Project,Fundraise,Pre-valuation,Stage,Investors,Category,Date,Year
SOL Strategies,28,275,Funding Round,ParaFi Capital,Finance,1/9/2025,2025
SOSO,15,200,Series A,HongShan (ex-Sequoia China),Blockchain Service,1/8/2025,2025
SOSO,15,200,Series A,Mirana Ventures,Blockchain Service,1/8/2025,2025
SOSO,15,200,Series A,SafePal,Blockchain Service,1/8/2025,2025
SOSO,15,200,Series A,SmallSpark,Blockchain Service,1/8/2025,2025
NAKA,10,100,Funding Round,Make It Capital,Gaming,1/6/2025,2025
ZKcandy,4,40,Seed Round,The Spartan Group,Layer-2,1/6/2025,2025
ZKcandy,4,40,Seed Round,Animoca Brands,Layer-2,1/6/2025,2025
ZKcandy,4,40,Seed Round,Efficient Frontier,Layer-2,1/6/2025,2025
ZKcandy,4,40,Seed Round,WEMIX,Layer-2,1/6/2025,2025
ZKcandy,4,40,Seed Round,Lecca Ventures,Layer-2,1/6/2025,2025
ZKcandy,4,40,Seed Round,Presto Labs,Layer-2,1/6/2025,2025
ZKcandy,4,40,Seed Round,Flowdesk,Layer-2,1/6/2025,2025
ZKcandy,4,40,Seed Round,Jin Kang,Layer-2,1/6/2025,2025
ZKcandy,4,40,Seed Round,PROMETHEUZ,Layer-2,1/6/2025,2025
Eventflo,20,200,Funding Round,Rollman Management,Social,1/6/2025,2025
JAN3,5,50,Seed Round,Tether,Blockchain Service,1/4/2025,2025
JAN3,5,50,Seed Round,Fulgur Ventures,Blockchain Service,1/4/2025,2025
JAN3,5,50,Seed Round,East Ventures,Blockchain Service,1/4/2025,2025
JAN3,5,50,Seed Round,Lightning Ventures,Blockchain Service,1/4/2025,2025
JAN3,5,50,Seed Round,Bitcoin Opportunity Fund,Blockchain Service,1/4/2025,2025
JAN3,5,50,Seed Round,Plan B Bitcoin Fund,Blockchain Service,1/4/2025,2025
JAN3,5,50,Seed Round,Grupo Salinas,Blockchain Service,1/4/2025,2025
JAN3,5,50,Seed Round,NYDIG,Blockchain Service,1/4/2025,2025
BABY,5,53,Strategic Round,BingX Labs,Blockchain,1/3/2025,2025
Accountable,2,23,Seed Round,Zee Prime Capital,Blockchain Service,12/30/2024,2024
Accountable,2,23,Seed Round,dcbuilder.eth,Blockchain Service,12/30/2024,2024
Accountable,2,23,Seed Round,Darius Rugys,Blockchain Service,12/30/2024,2024
Accountable,2,23,Seed Round,MitonC,Blockchain Service,12/30/2024,2024
NC,7,70,Funding Round,IDG Capital,Artificial Intelligence,12/27/2024,2024
NC,7,70,Funding Round,London Real Ventures,Artificial Intelligence,12/27/2024,2024
NC,7,70,Funding Round,Optic Capital,Artificial Intelligence,12/27/2024,2024
NC,7,70,Funding Round,IBC Ventures,Artificial Intelligence,12/27/2024,2024
NC,7,70,Funding Round,Elevate Community Ventures,Artificial Intelligence,12/27/2024,2024
NC,7,70,Funding Round,Mythos Venture Partners,Artificial Intelligence,12/27/2024,2024
NC,7,70,Funding Round,Funders VC,Artificial Intelligence,12/27/2024,2024
NC,7,70,Funding Round,Sypher Capital,Artificial Intelligence,12/27/2024,2024
ChainOpera AI,17,170,Seed Round,Amber Group,Blockchain,12/26/2024,2024
ChainOpera AI,17,170,Seed Round,IDG Capital,Blockchain,12/26/2024,2024
ChainOpera AI,17,170,Seed Round,Acequia Capital,Blockchain,12/26/2024,2024
ChainOpera AI,17,170,Seed Round,Sparkle Ventures,Blockchain,12/26/2024,2024
ChainOpera AI,17,170,Seed Round,Road Capital,Blockchain,12/26/2024,2024
ChainOpera AI,17,170,Seed Round,Finality Capital Partners,Blockchain,12/26/2024,2024
ChainOpera AI,17,170,Seed Round,ABCDE Capital,Blockchain,12/26/2024,2024
ChainOpera AI,17,170,Seed Round,Plug and Play,Blockchain,12/26/2024,2024
ChainOpera AI,17,170,Seed Round,Modular Capital,Blockchain,12/26/2024,2024
ChainOpera AI,17,170,Seed Round,Sreeram Kannan,Blockchain,12/26/2024,2024
ChainOpera AI,17,170,Seed Round,Aimtop Ventures,Blockchain,12/26/2024,2024
ChainOpera AI,17,170,Seed Round,Camford Capital,Blockchain,12/26/2024,2024
ChainOpera AI,17,170,Seed Round,LDV Partners,Blockchain,12/26/2024,2024
ChainOpera AI,17,170,Seed Round,Wisemont Capital,Blockchain,12/26/2024,2024
ChainOpera AI,17,170,Seed Round,PrimeSet,Blockchain,12/26/2024,2024
ChainOpera AI,17,170,Seed Round,Silicon Valley Future Capital,Blockchain,12/26/2024,2024
ChainOpera AI,17,170,Seed Round,David Tse,Blockchain,12/26/2024,2024
ChainOpera AI,17,170,Seed Round,USC Marshall School,Blockchain,12/26/2024,2024
SWAN,2,20,Funding Round,DWF Labs,DePIN,12/25/2024,2024
SWAN,2,20,Funding Round,Optimism Foundation,DePIN,12/25/2024,2024
SWAN,2,20,Funding Round,Promontory Technologies,DePIN,12/25/2024,2024
Hivera,2,20,Funding Round,IPN Foundation,Infrastructure,12/25/2024,2024
MINE,2,20,Funding Round,NA,Infrastructure +1,12/24/2024,2024
USUAL,10,100,Series A,YZi Labs (prev Binance Labs),RWA (Real World Assets),12/23/2024,2024
USUAL,10,100,Series A,Wintermute,RWA (Real World Assets),12/23/2024,2024
USUAL,10,100,Series A,Amber Group,RWA (Real World Assets),12/23/2024,2024
USUAL,10,100,Series A,Coinbase Ventures,RWA (Real World Assets),12/23/2024,2024
USUAL,10,100,Series A,Hypersphere Ventures,RWA (Real World Assets),12/23/2024,2024
USUAL,10,100,Series A,IOSG Ventures,RWA (Real World Assets),12/23/2024,2024
USUAL,10,100,Series A,Galaxy,RWA (Real World Assets),12/23/2024,2024
USUAL,10,100,Series A,OKX Ventures,RWA (Real World Assets),12/23/2024,2024
USUAL,10,100,Series A,Kraken Ventures,RWA (Real World Assets),12/23/2024,2024
USUAL,10,100,Series A,Krypital Group,RWA (Real World Assets),12/23/2024,2024
USUAL,10,100,Series A,GSR Markets (GSR),RWA (Real World Assets),12/23/2024,2024
USUAL,10,100,Series A,LeadBlock Partners,RWA (Real World Assets),12/23/2024,2024
USUAL,10,100,Series A,FunFair Ventures,RWA (Real World Assets),12/23/2024,2024
USUAL,10,100,Series A,Fasanara Capital,RWA (Real World Assets),12/23/2024,2024
USUAL,10,100,Series A,Symbolic Capital,RWA (Real World Assets),12/23/2024,2024
USUAL,10,100,Series A,Psalion VC,RWA (Real World Assets),12/23/2024,2024
USUAL,10,100,Series A,White Loop Capital,RWA (Real World Assets),12/23/2024,2024
USUAL,10,100,Series A,AVID3,RWA (Real World Assets),12/23/2024,2024
USUAL,10,100,Series A,echo,RWA (Real World Assets),12/23/2024,2024
USUAL,10,100,Series A,Guy Young,RWA (Real World Assets),12/23/2024,2024
AVL,10,100,Series A,Framework Ventures,DeFi,12/23/2024,2024
AVL,10,100,Series A,Kenetic Capital,DeFi,12/23/2024,2024
AVL,10,100,Series A,SNZ Holding,DeFi,12/23/2024,2024
AVL,10,100,Series A,Antalpha,DeFi,12/23/2024,2024
AVL,10,100,Series A,GeekCartel,DeFi,12/23/2024,2024
AVL,10,100,Series A,Trinito,DeFi,12/23/2024,2024
AVL,10,100,Series A,Comma3 Ventures,DeFi,12/23/2024,2024
AVL,10,100,Series A,Presto Labs,DeFi,12/23/2024,2024
AVL,10,100,Series A,MARBLEX,DeFi,12/23/2024,2024
AVL,10,100,Series A,UTXO Management,DeFi,12/23/2024,2024
AVL,10,100,Series A,Summer Ventures,DeFi,12/23/2024,2024
AVL,10,100,Series A,Taiko,DeFi,12/23/2024,2024
Hivera,5,50,Funding Round,Ton Incubator,Infrastructure,12/23/2024,2024
Rumble,775,"7,750",Strategic Round,Tether,Social,12/21/2024,2024
DUCK,5,50,Funding Round,Richard Ma (Quantstamp),Layer-2,12/20/2024,2024
DUCK,5,50,Funding Round,Kenetic Capital,Layer-2,12/20/2024,2024
DUCK,5,50,Funding Round,Gate.io,Layer-2,12/20/2024,2024
DUCK,5,50,Funding Round,dao5,Layer-2,12/20/2024,2024
DUCK,5,50,Funding Round,GeekCartel,Layer-2,12/20/2024,2024
DUCK,5,50,Funding Round,IronBoots,Layer-2,12/20/2024,2024
DUCK,5,50,Funding Round,Skyland Ventures,Layer-2,12/20/2024,2024
DUCK,5,50,Funding Round,Presto Labs,Layer-2,12/20/2024,2024
DUCK,5,50,Funding Round,Oak Grove Ventures,Layer-2,12/20/2024,2024
DUCK,5,50,Funding Round,Offchain Labs,Layer-2,12/20/2024,2024
DUCK,5,50,Funding Round,DWF Ventures,Layer-2,12/20/2024,2024
DUCK,5,50,Funding Round,Rob Viglione,Layer-2,12/20/2024,2024
Valhalla,2,15,Pre-seed,Kronos Research,DEX,12/20/2024,2024
Valhalla,2,15,Pre-seed,Robot Ventures,DEX,12/20/2024,2024
Valhalla,2,15,Pre-seed,Big Brain Holdings,DEX,12/20/2024,2024
Valhalla,2,15,Pre-seed,Calvin Liu,DEX,12/20/2024,2024
Valhalla,2,15,Pre-seed,Vadim Koleoshkin,DEX,12/20/2024,2024
Valhalla,2,15,Pre-seed,GSR Markets (GSR),DEX,12/20/2024,2024
Valhalla,2,15,Pre-seed,Hash3,DEX,12/20/2024,2024
Valhalla,2,15,Pre-seed,Igor Igamberdiev,DEX,12/20/2024,2024
Valhalla,2,15,Pre-seed,Namik Muduroglu,DEX,12/20/2024,2024
Valhalla,2,15,Pre-seed,MitonC,DEX,12/20/2024,2024
Valhalla,2,15,Pre-seed,Sumcap,DEX,12/20/2024,2024
Valhalla,2,15,Pre-seed,Wincent,DEX,12/20/2024,2024
Valhalla,2,15,Pre-seed,Rahul,DEX,12/20/2024,2024
Valhalla,2,15,Pre-seed,Jacob Arluck,DEX,12/20/2024,2024
Valhalla,2,15,Pre-seed,Gonçalo Sá,DEX,12/20/2024,2024
Valhalla,2,15,Pre-seed,Benjamin,DEX,12/20/2024,2024
Valhalla,2,15,Pre-seed,Lauris,DEX,12/20/2024,2024
Valhalla,2,15,Pre-seed,enzo,DEX,12/20/2024,2024
BDCA,2,20,Pre-seed,NA,Blockchain Service,12/19/2024,2024
FLOCK,3,30,Funding Round,Digital Currency Group (DCG),Artificial Intelligence,12/19/2024,2024
FLOCK,3,30,Funding Round,Fenbushi Capital,Artificial Intelligence,12/19/2024,2024
FLOCK,3,30,Funding Round,OKX Ventures,Artificial Intelligence,12/19/2024,2024
FLOCK,3,30,Funding Round,Animoca Brands,Artificial Intelligence,12/19/2024,2024
FLOCK,3,30,Funding Round,a41 Ventures,Artificial Intelligence,12/19/2024,2024
FLOCK,3,30,Funding Round,GSR Markets (GSR),Artificial Intelligence,12/19/2024,2024
FLOCK,3,30,Funding Round,Gnosis,Artificial Intelligence,12/19/2024,2024
FLOCK,3,30,Funding Round,Faction,Artificial Intelligence,12/19/2024,2024
FLOCK,3,30,Funding Round,Bas1s Ventures,Artificial Intelligence,12/19/2024,2024
Kettle Finance,4,40,Funding Round,IOSG Ventures,RWA (Real World Assets),12/19/2024,2024
Kettle Finance,4,40,Funding Round,Puzzle Ventures,RWA (Real World Assets),12/19/2024,2024
Kettle Finance,4,40,Funding Round,ParaFi Capital,RWA (Real World Assets),12/19/2024,2024
Kettle Finance,4,40,Funding Round,gmoney,RWA (Real World Assets),12/19/2024,2024
Kettle Finance,4,40,Funding Round,Signum Capital,RWA (Real World Assets),12/19/2024,2024
Kettle Finance,4,40,Funding Round,Kronos Research,RWA (Real World Assets),12/19/2024,2024
Kettle Finance,4,40,Funding Round,Zee Prime Capital,RWA (Real World Assets),12/19/2024,2024
Kettle Finance,4,40,Funding Round,OSF,RWA (Real World Assets),12/19/2024,2024
ALLO,2,20,Seed Round,Morningstar Ventures,DeFi,12/19/2024,2024
ALLO,2,20,Seed Round,NGC Ventures,DeFi,12/19/2024,2024
ALLO,2,20,Seed Round,Gate Labs,DeFi,12/19/2024,2024
Inferix,3,26,Funding Round,DePIN X,Infrastructure,12/19/2024,2024
PLUME,20,200,Series A,Brevan Howard,Blockchain,12/18/2024,2024
PLUME,20,200,Series A,SV Angel,Blockchain,12/18/2024,2024
PLUME,20,200,Series A,HashKey Capital,Blockchain,12/18/2024,2024
PLUME,20,200,Series A,a_capital,Blockchain,12/18/2024,2024
PLUME,20,200,Series A,Reciprocal Ventures,Blockchain,12/18/2024,2024
PLUME,20,200,Series A,Galaxy Ventures,Blockchain,12/18/2024,2024
PLUME,20,200,Series A,Haun Ventures,Blockchain,12/18/2024,2024
PLUME,20,200,Series A,Superscrypt,Blockchain,12/18/2024,2024
PLUME,20,200,Series A,Laser Digital,Blockchain,12/18/2024,2024
PLUME,20,200,Series A,Faction,Blockchain,12/18/2024,2024
PLUME,20,200,Series A,280 Capital,Blockchain,12/18/2024,2024
SLC,3,25,Seed Round,MV Global,Blockchain Service,12/18/2024,2024
SLC,3,25,Seed Round,Blockchange Ventures,Blockchain Service,12/18/2024,2024
SLC,3,25,Seed Round,Borderless Capital,Blockchain Service,12/18/2024,2024
SLC,3,25,Seed Round,Blockchain Founders Fund,Blockchain Service,12/18/2024,2024
SLC,3,25,Seed Round,Advanced Blockchain,Blockchain Service,12/18/2024,2024
SLC,3,25,Seed Round,Prosper GmbH & Co. KG,Blockchain Service,12/18/2024,2024
LENS,31,310,Strategic Round,Fabric Ventures,Blockchain Service,12/18/2024,2024
LENS,31,310,Strategic Round,ConsenSys,Blockchain Service,12/18/2024,2024
LENS,31,310,Strategic Round,Wintermute,Blockchain Service,12/18/2024,2024
LENS,31,310,Strategic Round,Alchemy,Blockchain Service,12/18/2024,2024
LENS,31,310,Strategic Round,Digital Finance Group (DFG),Blockchain Service,12/18/2024,2024
LENS,31,310,Strategic Round,Borderless Capital,Blockchain Service,12/18/2024,2024
LENS,31,310,Strategic Round,Foresight Ventures,Blockchain Service,12/18/2024,2024
LENS,31,310,Strategic Round,Aleksander Larsen (Psycheout),Blockchain Service,12/18/2024,2024
LENS,31,310,Strategic Round,Spencer Noon,Blockchain Service,12/18/2024,2024
LENS,31,310,Strategic Round,Blockchain Coinvestors,Blockchain Service,12/18/2024,2024
LENS,31,310,Strategic Round,Re7 Capital,Blockchain Service,12/18/2024,2024
LENS,31,310,Strategic Round,Anton Bukov,Blockchain Service,12/18/2024,2024
LENS,31,310,Strategic Round,Superscrypt,Blockchain Service,12/18/2024,2024
LENS,31,310,Strategic Round,Bodhi Ventures,Blockchain Service,12/18/2024,2024
LENS,31,310,Strategic Round,Anurag Arjun,Blockchain Service,12/18/2024,2024
LENS,31,310,Strategic Round,Circle,Blockchain Service,12/18/2024,2024
LENS,31,310,Strategic Round,Faction,Blockchain Service,12/18/2024,2024
LENS,31,310,Strategic Round,Duncan Robinson,Blockchain Service,12/18/2024,2024
LENS,31,310,Strategic Round,G-20 Group,Blockchain Service,12/18/2024,2024
LENS,31,310,Strategic Round,Avail,Blockchain Service,12/18/2024,2024
Fraction AI,6,60,Pre-seed,The Spartan Group,Blockchain Service,12/18/2024,2024
Fraction AI,6,60,Pre-seed,Kosmos Ventures,Blockchain Service,12/18/2024,2024
Fraction AI,6,60,Pre-seed,Sandeep Nailwal,Blockchain Service,12/18/2024,2024
Fraction AI,6,60,Pre-seed,Symbolic Capital,Blockchain Service,12/18/2024,2024
Fraction AI,6,60,Pre-seed,Anagram Crypto,Blockchain Service,12/18/2024,2024
Fraction AI,6,60,Pre-seed,GenerativeVentures,Blockchain Service,12/18/2024,2024
Fraction AI,6,60,Pre-seed,Karatage,Blockchain Service,12/18/2024,2024
Fraction AI,6,60,Pre-seed,Oak Grove Ventures,Blockchain Service,12/18/2024,2024
Fraction AI,6,60,Pre-seed,Byzantine Marine,Blockchain Service,12/18/2024,2024
Fraction AI,6,60,Pre-seed,Michael Heinrich,Blockchain Service,12/18/2024,2024
Fraction AI,6,60,Pre-seed,Borderless Capital,Blockchain Service,12/18/2024,2024
Fraction AI,6,60,Pre-seed,PAKA,Blockchain Service,12/18/2024,2024
Fraction AI,6,60,Pre-seed,Illia Polosukhin,Blockchain Service,12/18/2024,2024
Fraction AI,6,60,Pre-seed,Foresight Ventures,Blockchain Service,12/18/2024,2024
Fraction AI,6,60,Pre-seed,Mask Network,Blockchain Service,12/18/2024,2024
Fraction AI,6,60,Pre-seed,MH Ventures,Blockchain Service,12/18/2024,2024
Fraction AI,6,60,Pre-seed,Cogitent Ventures,Blockchain Service,12/18/2024,2024
Fraction AI,6,60,Pre-seed,Next Web Capital,Blockchain Service,12/18/2024,2024
Fraction AI,6,60,Pre-seed,Builder Capital,Blockchain Service,12/18/2024,2024
Promeet,3,31,Pre-seed,NA,Social,12/17/2024,2024
Ark of Panda,2,20,Funding Round,Coresky,Gaming,12/17/2024,2024
Ark of Panda,2,20,Funding Round,Web3link,Gaming,12/17/2024,2024
Ark of Panda,2,20,Funding Round,Tido Capital,Gaming,12/17/2024,2024
Ark of Panda,2,20,Funding Round,Lulala Labs,Gaming,12/17/2024,2024
Ark of Panda,2,20,Funding Round,Wabi Sabi Trading,Gaming,12/17/2024,2024
DAWN,3,25,Strategic Round,VanEck,DePIN,12/16/2024,2024
Juicyway,3,30,Pre-seed,Microtraction,Finance,12/16/2024,2024
Juicyway,3,30,Pre-seed,Future Africa,Finance,12/16/2024,2024
Juicyway,3,30,Pre-seed,Magic Fund,Finance,12/16/2024,2024
Juicyway,3,30,Pre-seed,P1 Ventures,Finance,12/16/2024,2024
Juicyway,3,30,Pre-seed,Andrew Alli,Finance,12/16/2024,2024
Juicyway,3,30,Pre-seed,Gbenga Oyebode,Finance,12/16/2024,2024
Juicyway,3,30,Pre-seed,Tunde Folawiyo,Finance,12/16/2024,2024
Yei Finance,2,20,Seed Round,Manifold Trading,DeFi,12/14/2024,2024
Yei Finance,2,20,Seed Round,Outlier Ventures,DeFi,12/14/2024,2024
Yei Finance,2,20,Seed Round,Kronos Research,DeFi,12/14/2024,2024
Yei Finance,2,20,Seed Round,WOO Network,DeFi,12/14/2024,2024
Yei Finance,2,20,Seed Round,Side Door Ventures,DeFi,12/14/2024,2024
Yei Finance,2,20,Seed Round,DWF Ventures,DeFi,12/14/2024,2024
MNRY,2,18,Funding Round,HTX Ventures (previously Huobi Ventures),Gaming,12/13/2024,2024
MNRY,2,18,Funding Round,Animoca Brands,Gaming,12/13/2024,2024
MNRY,2,18,Funding Round,C2Ventures (Csquared),Gaming,12/13/2024,2024
MNRY,2,18,Funding Round,P2 Ventures,Gaming,12/13/2024,2024
MNRY,2,18,Funding Round,Republic Crypto,Gaming,12/13/2024,2024
MNRY,2,18,Funding Round,Cardano Foundation,Gaming,12/13/2024,2024
fantasy.top,4,43,Seed Round,Dragonfly Capital,Gaming,12/13/2024,2024
fantasy.top,4,43,Seed Round,Manifold Trading,Gaming,12/13/2024,2024
MegaETH,10,100,Funding Round,NA,Blockchain,12/13/2024,2024
SYMMIO,2,21,Funding Round,The Spartan Group,DeFi,12/12/2024,2024
SYMMIO,2,21,Funding Round,Blockchain Founders Fund,DeFi,12/12/2024,2024
SYMMIO,2,21,Funding Round,MCLB,DeFi,12/12/2024,2024
ARGI,4,40,Strategic Round,Moonrock Capital,RWA (Real World Assets),12/12/2024,2024
ARGI,4,40,Strategic Round,Goldman Sachs,RWA (Real World Assets),12/12/2024,2024
ARGI,4,40,Strategic Round,Portal Ventures,RWA (Real World Assets),12/12/2024,2024
ARGI,4,40,Strategic Round,Endeavour Capital,RWA (Real World Assets),12/12/2024,2024
WATER,12,116,Funding Round,Enflux,Infrastructure,12/12/2024,2024
WATER,12,116,Funding Round,BoltVC,Infrastructure,12/12/2024,2024
WATER,12,116,Funding Round,Alpha Token Capital,Infrastructure,12/12/2024,2024
Superform,3,30,Strategic Round,Polychain Capital,DeFi,12/12/2024,2024
Superform,3,30,Strategic Round,CMT Digital,DeFi,12/12/2024,2024
Superform,3,30,Strategic Round,Strobe (Prev. BlockTower Capital),DeFi,12/12/2024,2024
Superform,3,30,Strategic Round,Amber Group,DeFi,12/12/2024,2024
Superform,3,30,Strategic Round,Maven 11 Capital,DeFi,12/12/2024,2024
Superform,3,30,Strategic Round,VanEck,DeFi,12/12/2024,2024
Superform,3,30,Strategic Round,Heartcore Capital,DeFi,12/12/2024,2024
Superform,3,30,Strategic Round,Node VC,DeFi,12/12/2024,2024
Superform,3,30,Strategic Round,Up Top,DeFi,12/12/2024,2024
Superform,3,30,Strategic Round,Schlag,DeFi,12/12/2024,2024
Uranium Digital,2,17,Pre-seed,Framework Ventures,DeFi,12/12/2024,2024
Uranium Digital,2,17,Pre-seed,Santiago Roel Santos,DeFi,12/12/2024,2024
Uranium Digital,2,17,Pre-seed,Marc Weinstein,DeFi,12/12/2024,2024
Uranium Digital,2,17,Pre-seed,Portal Ventures,DeFi,12/12/2024,2024
Uranium Digital,2,17,Pre-seed,Karatage,DeFi,12/12/2024,2024
Uranium Digital,2,17,Pre-seed,Jason Yanowitz,DeFi,12/12/2024,2024
Uranium Digital,2,17,Pre-seed,John Kikko,DeFi,12/12/2024,2024
Uranium Digital,2,17,Pre-seed,Alex Svanevik,DeFi,12/12/2024,2024
OPEN,15,150,Funding Round,IPN Foundation,Blockchain Service,12/12/2024,2024
SOAR,5,45,Funding Round,DWF Labs,DePIN,12/11/2024,2024
SOAR,5,45,Funding Round,Chorus One,DePIN,12/11/2024,2024
SOAR,5,45,Funding Round,Elevate Ventures,DePIN,12/11/2024,2024
SOAR,5,45,Funding Round,Cogitent Ventures,DePIN,12/11/2024,2024
SOAR,5,45,Funding Round,Plug and Play,DePIN,12/11/2024,2024
SOAR,5,45,Funding Round,Hyperithm,DePIN,12/11/2024,2024
SOAR,5,45,Funding Round,BlockBuilders,DePIN,12/11/2024,2024
SOAR,5,45,Funding Round,Taisu Ventures,DePIN,12/11/2024,2024
Multiledgers,1,10,Funding Round,Koyamaki Ventures,Infrastructure,12/11/2024,2024
Multiledgers,1,10,Funding Round,Oxygea Ventures,Infrastructure,12/11/2024,2024
Multiledgers,1,10,Funding Round,Indicator Capital,Infrastructure,12/11/2024,2024
KAST,10,100,Seed Round,HongShan (ex-Sequoia China),Finance,12/11/2024,2024
KAST,10,100,Seed Round,Peak XV Partners (ex-Sequoia India),Finance,12/11/2024,2024
KAST,10,100,Seed Round,DST Global,Finance,12/11/2024,2024
KAST,10,100,Seed Round,Goodwater,Finance,12/11/2024,2024
Sphere,5,50,Strategic Round,Coinbase Ventures,Blockchain Service,12/11/2024,2024
Sphere,5,50,Strategic Round,Kraken Ventures,Blockchain Service,12/11/2024,2024
Sphere,5,50,Strategic Round,Joe McCann,Blockchain Service,12/11/2024,2024
Sphere,5,50,Strategic Round,Stepan Simkin,Blockchain Service,12/11/2024,2024
Sphere,5,50,Strategic Round,Anagram Crypto,Blockchain Service,12/11/2024,2024
Sphere,5,50,Strategic Round,Visa,Blockchain Service,12/11/2024,2024
Sphere,5,50,Strategic Round,BOOGLE,Blockchain Service,12/11/2024,2024
Sphere,5,50,Strategic Round,Stakeholder,Blockchain Service,12/11/2024,2024
Sphere,5,50,Strategic Round,Nom,Blockchain Service,12/11/2024,2024
Sphere,5,50,Strategic Round,Richard Wu,Blockchain Service,12/11/2024,2024
Sphere,5,50,Strategic Round,Austin Green,Blockchain Service,12/11/2024,2024
Sphere,5,50,Strategic Round,Pyth Network,Blockchain Service,12/11/2024,2024
Sphere,5,50,Strategic Round,Jarry Xiao,Blockchain Service,12/11/2024,2024
Sphere,5,50,Strategic Round,Robinson Burkey,Blockchain Service,12/11/2024,2024
Sphere,5,50,Strategic Round,Tristan,Blockchain Service,12/11/2024,2024
Sphere,5,50,Strategic Round,echo,Blockchain Service,12/11/2024,2024
Sphere,5,50,Strategic Round,Bridge,Blockchain Service,12/11/2024,2024
Sphere,5,50,Strategic Round,Anna Y,Blockchain Service,12/11/2024,2024
Sphere,5,50,Strategic Round,Wells Fargo Strategic Capital,Blockchain Service,12/11/2024,2024
Sphere,5,50,Strategic Round,Kadense,Blockchain Service,12/11/2024,2024
Sphere,5,50,Strategic Round,Dominic Tsang,Blockchain Service,12/11/2024,2024
Sphere,5,50,Strategic Round,Temporal,Blockchain Service,12/11/2024,2024
Sphere,5,50,Strategic Round,Anza,Blockchain Service,12/11/2024,2024
Sphere,5,50,Strategic Round,Overclock,Blockchain Service,12/11/2024,2024
Sphere,5,50,Strategic Round,Anders,Blockchain Service,12/11/2024,2024
Sphere,5,50,Strategic Round,Yelena Cavanaugh,Blockchain Service,12/11/2024,2024
Sphere,5,50,Strategic Round,Rebecca Rettig,Blockchain Service,12/11/2024,2024
Sphere,5,50,Strategic Round,Joao Reginatto,Blockchain Service,12/11/2024,2024
Sphere,5,50,Strategic Round,Phil Chang,Blockchain Service,12/11/2024,2024
Spicenet,3,34,Seed Round,Hack VC,Layer-2,12/11/2024,2024
Spicenet,3,34,Seed Round,Magnus Capital,Layer-2,12/11/2024,2024
Spicenet,3,34,Seed Round,Tekin Salimi,Layer-2,12/11/2024,2024
Spicenet,3,34,Seed Round,George Lambeth,Layer-2,12/11/2024,2024
Spicenet,3,34,Seed Round,Zaki Manian,Layer-2,12/11/2024,2024
Spicenet,3,34,Seed Round,DoraHacks Ventures,Layer-2,12/11/2024,2024
Spicenet,3,34,Seed Round,WAGMI Ventures,Layer-2,12/11/2024,2024
Spicenet,3,34,Seed Round,Nick White,Layer-2,12/11/2024,2024
Spicenet,3,34,Seed Round,Public Works,Layer-2,12/11/2024,2024
Spicenet,3,34,Seed Round,Smokey The Bera,Layer-2,12/11/2024,2024
Spicenet,3,34,Seed Round,John Adler,Layer-2,12/11/2024,2024
Spicenet,3,34,Seed Round,Batu,Layer-2,12/11/2024,2024
Spicenet,3,34,Seed Round,Ismail Khoffi,Layer-2,12/11/2024,2024
Spicenet,3,34,Seed Round,P-OPS Team,Layer-2,12/11/2024,2024
Spicenet,3,34,Seed Round,echo,Layer-2,12/11/2024,2024
Spicenet,3,34,Seed Round,The Rollup Ventures,Layer-2,12/11/2024,2024
Spicenet,3,34,Seed Round,Vish.eth,Layer-2,12/11/2024,2024
Spicenet,3,34,Seed Round,TPC,Layer-2,12/11/2024,2024
Spicenet,3,34,Seed Round,RandomTask,Layer-2,12/11/2024,2024
Exabits,15,150,Seed Round,Hack VC,Infrastructure,12/10/2024,2024
Hyperbolic,12,120,Series A,Polychain Capital,Blockchain Service,12/10/2024,2024
Hyperbolic,12,120,Series A,Variant,Blockchain Service,12/10/2024,2024
Hyperbolic,12,120,Series A,IOSG Ventures,Blockchain Service,12/10/2024,2024
Hyperbolic,12,120,Series A,Wintermute,Blockchain Service,12/10/2024,2024
Hyperbolic,12,120,Series A,Bankless,Blockchain Service,12/10/2024,2024
Hyperbolic,12,120,Series A,Chapter One Ventures,Blockchain Service,12/10/2024,2024
Hyperbolic,12,120,Series A,GSR Markets (GSR),Blockchain Service,12/10/2024,2024
Hyperbolic,12,120,Series A,Ambush Capital,Blockchain Service,12/10/2024,2024
Hyperbolic,12,120,Series A,Blockchain Builders Fund,Blockchain Service,12/10/2024,2024
Hyperbolic,12,120,Series A,Faction,Blockchain Service,12/10/2024,2024
Klickl,25,125,Series A,Aptos,Finance,12/10/2024,2024
Klickl,25,125,Series A,Summer Ventures,Finance,12/10/2024,2024
Klickl,25,125,Series A,Web3Port,Finance,12/10/2024,2024
Klickl,25,125,Series A,Heritage Horizon Capital,Finance,12/10/2024,2024
Klickl,25,125,Series A,Alpha Square Group,Finance,12/10/2024,2024
Klickl,25,125,Series A,Heng Feng Group,Finance,12/10/2024,2024
Klickl,25,125,Series A,The Bond Group,Finance,12/10/2024,2024
Relai,12,120,Series A,Ego Death Capital,Finance,12/10/2024,2024
Relai,12,120,Series A,Timechain,Finance,12/10/2024,2024
Relai,12,120,Series A,Plan B Bitcoin Fund,Finance,12/10/2024,2024
Relai,12,120,Series A,Solit Group,Finance,12/10/2024,2024
